waiwai,chapter_id,entry_id,significado,meaning,WaiWai,Wai_Wai_sem_correcao,Wai_Wai_Phonemic,comment,comment_sem_correcao,comentario,comentario_sem_correcao,Referencia
aama,,,martelo,,aama,,,,,,,2
Aama,,,martelo,,Aama,,amá,,,,,3
Aama,,,martelo,,Aama,,,,,Oyaman; meu martelo [Fono: Poss: -n]; ; ,,4
aamo,,,seu pai,,aamo,,,,,,,2
Aamo,,,seu pai,,Aamo,,a mó,,,,,3
aamu,,,"lençol p/ dormir, forrar",,aamu,,,,,,,2
Aamu,,,"lençol p/ dormir, forrar",,Aamu,,amu,,,,,3
aañapotu,6,570,"cinto, cintura","belt, girdle",aañapotu,aaɲapotu,aaɲaΦotu,,,,,1
aaño   ,2,310,esposo,husband,aaño   ,aaɲo   ,aa-ɲo   ,Lit. '2nd-husband'.,,Literalmente. '2nd-husband'.,,1
aape,,,abacate,,aape,,,,,,,2
Aape,,,abacate,,Aape,,a fé,,,,,3
Aape,,,abacate,,Aape,,,,,,,4
aape yepu,,,abacateira,,aape yepu,,,,,,,2
Aape yepu,,,abacateira,,Aape yepu,,a fé iefu,,,,,3
aapo,7,430,cadeira,chair,aapo,,aaΦo,,,,,1
aapo,7,440,mesa,table,aapo,,aaΦo,,,,,1
aapo,7,470,prateleira,shelf,aapo,,aaΦo,,,,,1
aapo,,,banco para sentar,,aapo,,,,,,,2
Aapo,,,banco para sentar,,Aapo,,a fo,,,,,3
ara,,,"jirau, armação de madeira sobre o fogo para fazer com que a comida fique seca",,"aara, ara",,,,,Oyaran; meu jirau; ; ,,4
aara,,,"jirau, armação de madeira sobre o fogo para fazer com que a comida fique seca",,"aara, ara",,,,,Oyaran; meu jirau; ; ,,4
aarî,,,carregar,,"aarî, arî",,,,,levar alguém consigo; Oyakno waařas oyakro; Arîhra wasî; Não vou leva-lo comigo,,4
aarî,,,carregar,,"aarî, arî",,,,,levar alguém consigo; Oyakno waařas oyakro; Arîhra wasî; Não vou leva-lo comigo,,4
aaro,,,"Serpente que vive em palmeiras, é de coloração verde",,aaro,,,,,,,4
Aasu,,,árvore da floresta cujo fruto é comido por macacos,,Aasu,,,,,,,4
aato,,,tosse,,aato,,,,,,,2
Aato,,,tosse,,Aato,,ato,,,,,3
ato,,,tosse,,aato; ato,,,,,Oyaton; minha tosse; Estou com tosse; Katonasî (VBZD),,4
aato,,,tosse,,aato; ato,,,,,Oyaton; minha tosse; Estou com tosse; Katonasî (VBZD),,4
Aatupe,,,que tem folhas murches,,Aatupe,,,,,Veja: tupe; ; ; ,,4
Aawa,,,nome indígena masc.,,Aawa,,aua,,,,,3
aaxe,,,quero,,aaxe,,,,,,,2
Aaxe,,,quero,,Aaxe,,a xe,,,,,3
aaxe wasî,,,quero você,,aaxe wasî,,,,,,,2
Aaxe wasî,,,quero você,,Aaxe wasî,,a xe uasu,,,,,3
aaxera wasî,,,não quero você,,aaxera wasî,,,,,,,2
Aaxera wasî,,,não quero você,,Aaxera wasî,,a x era uasu,,,,,3
aca,,,"reclama das ferradas insetos, formigas, moriçoca, pium etc.",,aca,,,,,,,2
aca,,,"reclama de coceira, ou frieira",,aca,,,,,,,2
aca,,,reclama de quintura.,,aca,,,,,,,2
Aca,,,"reclama de coceira, ou frieira",,Aca,,atia,,,,,3
Aca,,,"reclama das ferradas insetos, formigas, moriçoca, pium etc.",,Aca,,atia,,,,,3
Aca,,,reclama de quintura.,,Aca,,atia,,,,,3
acacan,,,sua avó,,acacan,,,,,,,2
Acacan,,,sua avó,,Acacan,,atia tian,,,,,3
acanan,,,sua pintura,,acanan,,,,,,,2
Acanan,,,sua pintura,,Acanan,,atia nan,,,,,3
acarakakî,,,abra ambos os lados ou esticar um lado para outro lado,,acarakakî,,,,,,,2
Acarakakî,,,abra ambos lados ou esticar um lado para outro lado,,Acarakakî,,atia ra ca cu,,,,,3
Acetî,,,"suporte, Braçadeira",,Acetî,,,,,Mapata yecetî eeko; Traga a braçadeira para o poste da casa; ; ,,4
aci,,,espirro,,aci,,,,,,,2
Aci,,,espirro,,Aci,,a ti,,,,,3
Aci,,,espirrar,,Aci,,,,,Kacinasî; Estou espirando; Não estou espirrando; Oyaciresî,,4
ačimra,4,540,espirrar,sneeze  ,ačimra,ačimra,ači-m-ra,Lit. 'sneeze-poss-negative'.,,Literalmente. 'Spireze-Poss-negativo'.,,1
acinîmtopo,,,relação expirro,,acinîmtopo,,,,,,,2
Acinîmtopo,,,relação expirro,,Acinîmtopo,,ati num tofo,,,,,3
Acinto,,,"apertar, retesar (apertar a corda de um arco)",,Acinto,,,,,Okrapan wacincesî; Estou apertando a corda do meu arco; Aperte a acorda do seu arco; ,,4
acireko,,,fazer espirrar,,acireko,,,,,,,2
Aciriko,,,fazer espirrar,,Aciriko,,ati ri co,,,,,3
Ackicki,,,Enrolado (cabelo),,Ackicki,,,,,Ohpoci nasî ackickipe; Meu cabelo é enrolado; ; ,,4
Acko,,,úlcera grande,,Acko,,,,,Acko kene was eko; Tenho uma úlcera grande; ; ,,4
Ackoroka,,,lavar (lavar o interior de uma vasilha),,Ackoroka,,,,,Paayu ackorokakî; Lave as louças; Onde vou lavá-los?; ,,4
acoro,,,seu coração,,acoro,,,,,,,2
Acoro,,,seu coração,,Acoro,,atioro,,,,,3
Acpoku,,,capinar,,Acpoku,,,,,roçar; Omerarîn wacpokyasî; Amararîn acpoko; Capinar a sua roça,,4
ahce,,,o que,,ahce,,,,,,,2
Ahce,,,o que,,Ahce,,ar tié,,,,,3
Ahce,,,o que?,,Ahce,,,,,Ahce xe mai?; O que você quer?; ; ,,4
ahče,17,640,que?,what?,ahče,ahče,ahče,,,,,1
ahce kacho,,,por quê?,,ahce kacho,,,,,,,2
Ahce kacho,,,por que?,,Ahce kacho,,ar tié ca tio,,,,,3
ahče kačho,17,690,porque?,why?,ahče kačho,ahče kačho,ahče kačho,,,,,1
ahce maw,,,quando,,ahce maw,,,,,,,2
Ahce maw,,,quando,,Ahce maw,,ar tié mau,,,,,3
ahce ñeekî,,,oque ele ou ela trouxe?,,ahce ñeekî,,,,,,,2
Ahce ñeekî,,,oque ele ou ela trouxe?,,Ahce ñeekî,,ar tié nhe cu,,,,,3
ahce poyero,,,por causa de que?,,ahce poyero,,,,,,,2
Ahce poyero,,,por causa de que?,,Ahce poyero,,ar tié foe ro,,,,,3
ahče wa,17,610,quão?,how?,ahče wa,ahče wa,ahče wa,,,,,1
ahce wece,,,pra que,,ahce wece,,,,,,,2
Ahce wece,,,para que,,Ahce wece,,ar tié eu tié,,,,,3
ahce xe may,,,o que você quer?,,ahce xe may,,,,,,,2
Ahce Xe may,,,o que você quer?,,Ahce Xe may,,ar tié Xe mai,,,,,3
ahce yakro,,,com quem,,ahce yakro,,,,,,,2
Ahce yakro,,,com que,,Ahce yakro,,ar tié ia cro,,,,,3
ahce yanme,,,por quê? ou por que motivo?,,ahce yanme,,,,,,,2
Ahce yanme,,,por que? ou por que motivo?,,Ahce yanme,,ar tié Ian me,,,,,3
Ahcemaw,,,quando?,,Ahcemaw,,,,,Ahcemaw mîmoko?; Quando que você veio?; ; ,,4
ahčemaw,17,650,quando?,when?,ahčemaw,ahčemaw,ahče-maw,,,,,1
ahcemawno,,,desde quando,,ahcemawno,,,,,,,2
Ahcemawno,,,desde quando,,Ahcemawno,,ar tié mau no,,,,,3
ahcewa,,,como,,ahcewa,,,,,,,2
Ahcewa,,,como,,Ahcewa,,ar tié ua,,,,,3
ahcewa exirke,,,por motivo de que?,,ahcewa exirke,,,,,,,2
Ahcewa exirke,,,por motivo de que?,,Ahcewa exirke,,artie ua exiri que,,,,,3
ahcewa ha,,,"como vai,",,ahcewa ha,,,,,,,2
Ahcewa ha,,,como vai?,,Ahcewa ha,,ar tié ua ra,,,,,3
Ahcewa há,,,como você esta?,,Ahcewa há,,ar tié ua ra,,,,,3
ahcewa may,,,como você está?,,ahcewa may,,,,,,,2
Ahcewa may,,,como vai?,,Ahcewa may,,ar tié ua mai,,,,,3
ahcewa meexi,,,o que aconteceu contigo?,,ahcewa meexi,,,,,,,2
Ahcewa meexi,,,o que aconteceu contigo?,,Ahcewa meexi,,artie ua me xi,,,,,3
ahcewa mehcow,,,o que aconteceu com voces?,,ahcewa mehcow,,,,,,,2
Ahcewa mehcow,,,o que aconteceu com voces?,,Ahcewa mehcow,,ar tié ua mer tiou,,,,,3
Ahcewa ñeexi,,,o que aconteceu com ele ou com ela?,,Ahcewa ñeexi,,artie ua nhe xi,,,,,3
ahcewa ñeexi noro,,,o que aconteceu com ele ou com ela?,,ahcewa ñeexi noro,,,,,,,2
Ahcikî,,,ter dor muscular,,Ahcikî,,,,,Ahcitara wasî; Não fico com dores musculares; Não tenho dores musculares; Tahcikye wasî,,4
Ahcikî,,,ficar com músculos doloridos,,Ahcikî,,,,,Tahcikye wasî; Meus músculos estão doloridos; Não fiquei com os músculos doloridos; Kahcikwakñe oko,,4
Ahcikîrîrînka,,,Fazer cocegas em alguém no sovaco,,Ahcikîrîrînka,,,,,,,4
ahcoko,,,comam,,ahcoko,,,,,,,2
Ahcoko,,,comam,,Ahcoko,,Ar tio co,,,,,3
Ahka,,,quebrar (quebrar um objeto de barro ou vidro) remover sementes (remover sementes de algodão),,Ahka,,,,,Tahrem ahkara esko; Não quebre o pote; Ele quebrou mesmo assim; Omawrîn wahkesî,,4
ahkacoko,,,quebrem ou vocês quebrem,,ahkacoko,,,,,,,2
Ahkacoko,,,quebrem ou vocês quebrem,,Ahkacoko,,ar ca tio co,,,,,3
ahkakî,,,quebre ou quebra,,ahkakî,,,,,,,2
Ahkakî,,,quebre ou quebra,,Ahkakî,,ar ca cú,,,,,3
ahkañe,,,que quebra,,ahkañe,,,,,,,2
Ahkañe,,,que quebra,,Ahkañe,,arca nhe ro,,,,,3
ahkañero,,,que sempre quebra,,ahkañero,,,,,,,2
Ahkañero,,,que sempre quebra,,Ahkañero,,arca nhe ro,,,,,3
ahko,,,coma,,ahko,,,,,,,2
Ahko,,,coma,,Ahko,,ar co,,,,,3
Ahko,,,você come,,Ahko,,ar có,,,,,3
Ahkoroma,,,tapar um buraco com uma substância que fica duro,,Ahkoroma,Aki𝐫̂wama,,,,Maañi ke ahkoromakî; Feche o buraco com breu; ; ,,4
ahná,,,para onde,,ahná,,,,,,,2
Ahná,,,para onde,,Ahná,,ar na,,,,,3
ahna mîîce,,,para onde você vai?,,ahna mîîce,,,,,,,2
Ahna mîîce,,,para onde você vai?,,Ahna mîîce,,ar na um tié,,,,,3
ahna mîtomo,,,para onde você foi?,,ahna mîtomo,,,,,,,2
Ahna mîtomo,,,para onde você foi?,,Ahna mîtomo,,ar na um to mo,,,,,3
ahna tocow,,,para onde foram?,,ahna tocow,,,,,,,2
Ahna tocow,,,para onde foram?,,Ahna tocow,,ar na to tiou,,,,,3
ahna tomo,,,para onde ele foi ou ela,,ahna tomo,,,,,,,2
Ahna tomo,,,para onde foi,,Ahna tomo,,ar na to mo,,,,,3
Ahna xá,,,aonde precisamente,,Ahna xá,,ar na xá,,,,,3
ahna xá tomo,,,aonde precisamente,,ahna xá tomo,,,,,,,2
ahna,,,para onde?,,"ahna, ahnaya",,,,,para que lugar?; Ahna tomo poñko?; Ahnaya temo?; Para onde ele foi?,,4
ahnaya,,,para onde?,,"ahna, ahnaya",,,,,para que lugar?; Ahna tomo poñko?; Ahnaya temo?; Para onde ele foi?,,4
ahnaya,,,que rumo ou que direção,,ahnaya,,,,,,,2
Ahnaya,,,que rumo ou que direção,,Ahnaya,,ar na ia,,,,,3
ahñe,,,que come ( tipo frutas),,ahñe,,,,,,,2
Ahñe,,,que come,,Ahñe,,ar nhe,,,,,3
ahñero,,,que sempre come,,ahñero,,,,,,,2
Ahñero,,,que sempre come,,Ahñero,,ar nhe ro,,,,,3
Ahnixa,,,de onde,,Ahnixa,,,,,Ahñixa mîmoko?; Você veio de onde?; ; ,,4
ahñixa,,,por onde,,ahñixa,,,,,,,2
Ahñixa,,,por onde,,Ahñixa,,ar nhi xá,,,,,3
ahñixa mice amoro,,,por onde você vai,,ahñixa mice amoro,,,,,,,2
ahnoro,13,140,"Todo, todos","every, all",ahnoro,,ahnoro,,,,,1
ahnoro,,,tudo,,ahnoro,,,,,,,2
Ahnoro,,,tudo,,Ahnoro,,ar noró,,,,,3
Ahnoro,,,"tudo, todas as coisas, todo mundo",,Ahnoro,,,,,Mohtîkacow ahnoro; Eles todos vieram; Ela está vestida com um vestido comprido; ,,4
ahnorono,,,todos,,ahnorono,,,,,,,2
Ahnorono,,,todos,,Ahnorono,,ar noronó,,,,,3
ahnorono komo,,,todo mundo,,ahnorono komo,,,,,,,2
ahnorono komo,,,tudo mundo,,ahnorono komo,,,,,,,2
Ahnorono komo,,,todo mundo,,Ahnorono komo,,ar noro no como,,,,,3
Ahnorono komo,,,tudo mundo,,Ahnorono komo,,ar no ro no co mo,,,,,3
ahpoci,,,seu cabelo,,ahpoci,,,,,,,2
Ahpoci,,,seu cabelo,,Ahpoci,,ar fo ti,,,,,3
ahpoci kirwan,,,seu cabelo lindo,,ahpoci kirwan,,,,,,,2
ahraknu,,,seu calcanhar,,ahraknu,,,,,,,2
Ahraknu,,,seu calcanhar,,Ahraknu,,ar rad u,,,,,3
ahrepu,,,sua perna,,ahrepu,,,,,,,2
Ahrepu,,,sua perna,,Ahrepu,,ar ri fu,,,,,3
Ahri,,,esperar (geralmente seguido pela palavra kapu),,Ahri,Ak𝐧̂ipu,,,,Ahri kapu; Espere um pouco; ; ,,4
Ahro,,,pular,,Ahro,,,,,Kahronasî; Estou pulando Ahromra wasî; Kahronîmye; Pulei,,4
ahromko,10,430,"pular, salto","jump, leap",ahromko,ahro-m-ko,ahro-m-ko,Lit. 'jump-poss-imperative'.,,Literalmente. 'Jump-Poss-Imperative'.,,1
ahroron,,,seu terreiro,,ahroron,,,,,,,2
Ahroron,,,seu terreiro,,Ahroron,,ar ro ron,,,,,3
ahru,,,Itaúbá,,ahru,,,,,,,2
Ahru,,,Itaúbá,,Ahru,,ar rú,,,,,3
Ahru,,,arvore de madeira de lei boa para fazer esteiros de casas,,Ahru,,,,,,,4
Ahru,,,"fechar, cobrir, enterrar algo ou alguém, não ser deixado vir; - S tampa",,Ahru,,,,,Wahruyasî; Vou fechalo; Não vou fecha-lo; Ahruko,,4
ahrucoko,,,fechem ou tampam,,ahrucoko,,,,,,,2
Ahrucoko,,,fechem ou tampam,,Ahrucoko,,ar ru tio co,,,,,3
ahruko,4,780,enterrar (os mortos),bury (the dead) ,ahruko,ahru-ko,∅-ahru-ko,Lit. '3rd obj-cover up-imperative'.,,Literalmente. '3ª cobertura de obj-imperativa'.,,1
ahruko,,,fecha ou tampa,,ahruko,,,,,,,2
Ahruko,,,fecha ou tampa,,Ahruko,,ar ru co,,,,,3
ahruko ,12,250,"Feche, feche","shut, close",ahruko ,ahru-ko ,ahru-ko ,Lit. 'cover/close it-imperative'.,,Literalmente. 'Cobrir/fechar-o-imperativo'.,,1
ahruko ,12,260,cobrir,cover,ahruko ,ahru-ko ,ahru-ko ,"Same as 'shut, cover' 12.250.",,"O mesmo que 'fechado, capa' 12.250.",,1
ahrumcoko,,,pulem,,ahrumcoko,,,,,,,2
Ahrumcoko,,,pulem,,Ahrumcoko,,ar rum tio co,,,,,3
ahrumko,,,pule,,ahrumko,,,,,,,2
Ahrumko,,,pule,,Ahrumko,,ar rum có,,,,,3
ahrumso,,,para pular,,ahrumso,,,,,,,2
Ahrumso,,,para pular,,Ahrumso,,ar rum so,,,,,3
Ahrumtopo,,,lugar de pular,,Ahrumtopo,,ar rum tofó,,,,,3
ahrumtopo yekem,,,lugar de pular,,ahrumtopo yekem,,,,,,,2
ahrumtoporo,,,lugar especifico para pular,,ahrumtoporo,,,,,,,2
Ahrumtoporo,,,lugar especifico para pular,,Ahrumtoporo,,ar rum to fo ro,,,,,3
Ahrunka,,,"abrir, destampar",,Ahrunka,,,,,Wahrunkesî; Eu vou o abrir; Ahrunkara wasî; Não vou o abrir,,4
ahrunkacho,,,algo para abrir,,ahrunkacho,,,,,,,2
Ahrunkacho,,,algo para abrir,,Ahrunkacho,,ar run ca tio,,,,,3
ahrunkakî,12,240,abrir,open,ahrunkakî,ahru-nka-kî,ahru-nka-kɨ,Lit. 'cover it-take away-imperative'.,,Literalmente. 'Cubra-o para longe-imperativo'.,,1
ahrunkakî,,,abra,,ahrunkakî,,,,,,,2
Ahrunkakî,,,abra,,Ahrunkakî,,ar runkakú,,,,,3
ahrunkara,,,não abre,,ahrunkara,,,,,,,2
Ahrunkara,,,não abre,,Ahrunkara,,ar run cara,,,,,3
ahrunkara ka nay,,,ainda não abriu,,ahrunkara ka nay,,,,,,,2
Ahrunkara ka nay,,,ainda não abriu,,Ahrunkara ka nay,,ar run cara ca nai,,,,,3
ahrunkatopo,,,algo para abrir,,ahrunkatopo,,,,,,,2
Ahrunkatopo,,,algo para abrir,,Ahrunkatopo,,ar run ca to fo,,,,,3
ahrunkatoponhîrî,,,alguma coisa usado para abrir,,ahrunkatoponhîrî,,,,,,,2
Ahrunkatoponhîrî,,,alguma coisa usado para abrir,,Ahrunkatoponhîrî,,ar run ca to fon rruru,,,,,3
ahrupoko,,,mande prender,,ahrupoko,,,,,,,2
Ahrupoko,,,mande prender,,Ahrupoko,,ar ru fo co,,,,,3
ahrupora esko,,,não deixe prender,,ahrupora esko,,,,,,,2
Ahrupora esko,,,não deixe prender,,Ahrupora esko,,ar ru fo ra esco,,,,,3
ahruposo,,,para mandar enterrar,,ahruposo,,,,,,,2
ahruposo,,,para mandar prender,,ahruposo,,,,,,,2
Ahruposo,,,para mandar enterrar Ahruso,,Ahruposo,,ar ru fo so,,,,,3
Ahruposo,,,para mandar prender,,Ahruposo,,ar ru fo so,,,,,3
ahrupotopo,,,para se prender,,ahrupotopo,,,,,,,2
Ahrupotopo,,,para se prender,,Ahrupotopo,,ar ru fo tofo,,,,,3
ahrura,,,aberto,,ahrura,,,,,,,2
Ahrura,,,aberto,,Ahrura,,ar ru ra,,,,,3
ahruru,,,tampa de objeto,,ahruru,,,,,,,2
Ahruru,,,tampa de objeto,,Ahruru,,ar ru ru,,,,,3
ahruso,,,para enterrar,,ahruso,,,,,,,2
ahruta,,,vá enterrar,,ahruta,,,,,,,2
ahruta,,,vá tampar,,ahruta,,,,,,,2
Ahruta,,,vá enterrar,,Ahruta,,ar ru ta,,,,,3
Ahruta,,,vá tampar,,Ahruta,,ar ru ta,,,,,3
ahruthîrî,,,relação tampa exemplo: tampa que era de garrafa etc.,,ahruthîrî,,,,,,,2
Ahruthîrî,,,"relação tampa, exemplo: tampa que era de garrafa etc.",,Ahruthîrî,,ar ru tu ru,,,,,3
ahrutopo,,,para tampar,,ahrutopo,,,,,,,2
ahrutopo,,,tampa,,ahrutopo,,,,,,,2
Ahrutopo,,,para tampar,,Ahrutopo,,ar ru to fo,,,,,3
Ahrutopo,,,tampa,,Ahrutopo,,ar ru tofo,,,,,3
Ahsî,,,"pegar, segurar, adquirir, receber comprar, aprender (aprender uma língua)",,Ahsî,,,,,Wahsîyasî; Estou segurando-o; Não estou segurando-o; Ahsîko,,4
ahsîko,,,agarre,,ahsîko,,,,,,,2
ahsîko,,,pegue,,ahsîko,,,,,,,2
ahsîko,,,segure,,ahsîko,,,,,,,2
Ahsîko,,,agarre,,Ahsîko,,ar si co,,,,,3
Ahsîko,,,apare,,Ahsîko,,ar si co,,,,,3
Ahsîko,,,pegue,,Ahsîko,,ar si co,,,,,3
Ahsîko,,,segure,,Ahsîko,,ar su kó,,,,,3
ahsîko ,11,130,leva,take,ahsîko ,ahsî-ko ,ahsɨ-ko ,Lit. 'take/receive it-imperative'.,,Literalmente. 'Pegue/receba It-Imperative'.,,1
ahsîko noro,,,agarre ele ou ela,,ahsîko noro,,,,,,,2
ahsîñe,,,que segura,,ahsîñe,,,,,,,2
Ahsîñe,,,que segura,,Ahsîñe,,ar s unhe,,,,,3
Ahsîpînka,,,"soltar, abandonar, lagar",,Ahsîpînka,,,,,Wahsîpînkesî; Vou soltar-lo; ; ,,4
ahsîpînkakî,11,340,"Libere, deixe ir","release, let go ",ahsîpînkakî,ahsî-pînka-kî,ahsɨ-Φɨnka-kɨ,Lit. 'hold-reversitive-imperative'.,,Literalmente. 'reverso-reverso-imperativo'.,,1
ahsîpînkakî,,,solte ou deixe,,ahsîpînkakî,,,,,,,2
Ahsîpînkakî,,,solte ou deixe,,Ahsîpînkakî,,ar sú fún cacú,,,,,3
ahsîpînkara,11,170,"Mantenha, retenha","keep, retain",ahsîpînkara,ahsî-pînka-ra,ahsɨ-Φɨnka-ra,Lit. 'hold-reversitive-neg'.,,Literalmente. 'Hold-Reversitive-Neg'.,,1
ahsîpînkara esko,,,não solta ou não deixe,,ahsîpînkara esko,,,,,,,2
Ahsîpînkara esko,,,não solta ou não deixe,,Ahsîpînkara esko,,ar su fun cara escó,,,,,3
ahsîsîknokó,,,cole ou bleiar,,ahsîsîknokó,,,,,,,2
Ahsîsîknokó,,,cole ou bleiar,,Ahsîsîknokó,,ar súsú do co,,,,,3
Ahsîsîknopu,,,Colar junto,,Ahsîsîknopu,,,,,Wabsîsîknoyasî; Vou colá-los; Não vou colá-los; Ahsîsîknoko,,4
ahsîsîknotopo,,,material para colar ou bleiar,,ahsîsîknotopo,,,,,,,2
Ahsîsîknotopo,,,material para colar ou bleiar,,Ahsîsîknotopo,,ahsu su do tofo,,,,,3
ahsîso,,,para agarrar,,ahsîso,,,,,,,2
ahsîso,,,para comprar,,ahsîso,,,,,,,2
ahsîso,,,para pegar,,ahsîso,,,,,,,2
Ahsîso,,,para agarrar,,Ahsîso,,ar si so,,,,,3
Ahsîso,,,para aparar,,Ahsîso,,arsiso,,,,,3
Ahsîso,,,para comprar,,Ahsîso,,ar si so,,,,,3
Ahsîso,,,para pegar,,Ahsîso,,ar si so,,,,,3
ahsîtopo,,,relação segura,,ahsîtopo,,,,,,,2
Ahsîtopo,,,relação segura,,Ahsîtopo,,ar su to fó,,,,,3
ahsîxapu,,,"já agarrada, já agarrado ou já comprado, que tem domínio",,ahsîxapu,,,,,,,2
Ahsîxapu,,,"já agarrada, já agarrado ou já comprado, que tem domínio",,Ahsîxapu,,ar su xá fu,,,,,3
ahso,,,para comer,,ahso,,,,,,,2
Ahso,,,para comer,,Ahso,,ar so,,,,,3
ahta,,,vai comer,,ahta,,,,,,,2
Ahta,,,vai comer,,Ahta,,ar ta,,,,,3
ahtarî,,,seu pé,,ahtarî,,,,,,,2
ahtarî,,,seu pé,,ahtarî,,,,,,,2
ahtarî,,,seu sapato,,ahtarî,,,,,,,2
Ahtarî,,,seu pé,,Ahtarî,,ar ta rú,,,,,3
Ahtarî,,,seu pé,,Ahtarî,,arta ru,,,,,3
Ahtarî,,,seu sapato,,Ahtarî,,arta ru,,,,,3
ahtarî ke etapakî,10,431,chute,kick,ahtarî ke etapakî,ahta-rî ke etapa-kî,ahta-rɨ ke etaΦa-kɨ,Means 'with foot hit him'.,,Significa 'com os pés atingindo ele'.,,1
ahtayaran,,,dedo do seu pé,,ahtayaran,,,,,,,2
Ahtayaran,,,dedo do seu pé,,Ahtayaran,,ar ta ia ran,,,,,3
ahtîpîrî,,,sua cabeça,,ahtîpîrî,,,,,,,2
ahtîpîrî komo,,,suas cabeças,,ahtîpîrî komo,,,,,,,2
ahtîpîrî komo,,,suas lideranças,,ahtîpîrî komo,,,,,,,2
Ahtîpîrî komo,,,suas cabeças,,Ahtîpîrî komo,,ar tu p uru,,,,,3
Ahtîpîrî komo,,,suas lideranças,,Ahtîpîrî komo,,ar tu fu rú,,,,,3
ahto,17,660,Onde?,where?,ahto,,ahto,,,,,1
ahto,,,aonde,,ahto,,,,,,,2
ahto,,,onde,,ahto,,,,,,,2
Ahto,,,onde,,Ahto,,arto,,,,,3
Ahto,,,aonde,,Ahto,,ar to,,,,,3
Ahto xá,,,onde precisamente,,Ahto xá,,ar to xá,,,,,3
ahto xá nai,,,onde precisamente,,ahto xá nai,,,,,,,2
Ahto,,,onde?,,Ahto,,,,,"Ahto mai?; Onde você está?; De onde você é?; veja: ahna, ahni",,4
Ahto,,,Cavar,,Ahto,,,,,Wahcesî; Vou cavar; Não vou cavar; Ahtoko,,4
ahtoko ,8,220,escavação,dig,ahtoko ,ahto-ko ,ahto-ko ,Lit. 'dig-imperative'.,,Literalmente. 'Dig-Imperative'.,,1
Ahtoxa,,,"Por onde, qual caminho",,Ahtoxa,,,,,Ahtoxa mîîce?; Por qual caminho você vai?; ; ,,4
Ahtutumu,,,"Em forma de ""l""",,Ahtutumu,,,,,"Tahtutumuy nasî; É em forma de um ""l""; ; ",,4
Ahwo,,,Objeto que causa alegria,,Ahwo,,,,,Omin yahwori wahsiyasî; Vou comprar algo para alegrar a minha casa; ; ,,4
Ahwo,,,ser feliz,,Ahwo,,,,,Kahwowasî kaan poko; Adoro a deus; Estou o adoro; Ahwotacoko,,4
Ahwo,,,"Regozijar, regozijar com alguma coisa, adorar alguém",,Ahwo,,,,,Tahwore cehceri; Vamos ser felizes; Não estou feliz; ,,4
